StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
OK028,216.05848310339042,0.48,"[7.0, 0.0, 9.0, 10.0, 10.0, 7.0, 7.0, 0.0, 9.0, 6.0, 0.0, 7.0, 7.0, 8.0, 6.0, 8.0, 0.0, 0.0, 0.0, 4.0, 6.0, 6.0, 6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 5.0, 6.0]",6.10,"[5.0, 5.0999999999999996, 5.1999999999999993, 5.2999999999999989, 5.3999999999999986, 5.4999999999999982, 5.5999999999999979, 5.6999999999999975, 5.7999999999999972, 5.8999999999999968, 5.9999999999999964, 6.0999999999999961, 6.1999999999999957, 6.2999999999999954, 6.399999999999995, 6.4999999999999947, 6.5999999999999943, 6.699999999999994, 6.7999999999999936, 6.8999999999999932]","[0.3173227568118591, 0.29421170430352295, 0.2713573326987661, 0.2488242903797977, 0.22668983727745184, 0.20505059233741507, 0.1840412407716481, 0.16384846099020134, 0.14470373693479188, 0.12690739208772364, 0.11079828470573151, 0.11044185800852886, 0.1171401136935385, 0.12639617639133954, 0.13812290943349145, 0.1520737731558313, 0.16793389116163915, 0.185391400972075, 0.20414014128425917, 0.22395413215094637]",0.11
OK029,256.1140089863562,0.62,"[10.0, 13.0, 13.0, 12.0, 13.0, 16.0, 14.0, 0.0, 7.0, 7.0, 6.0, 0.0, 5.0, 6.0, 7.0, 7.0, 8.0, 7.0, 5.0, 0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 0.0, 4.0, 3.0, 0.0, 0.0]",6.10,"[5.0, 5.0999999999999996, 5.1999999999999993, 5.2999999999999989, 5.3999999999999986, 5.4999999999999982, 5.5999999999999979, 5.6999999999999975, 5.7999999999999972, 5.8999999999999968, 5.9999999999999964, 6.0999999999999961, 6.1999999999999957, 6.2999999999999954, 6.399999999999995, 6.4999999999999947, 6.5999999999999943, 6.699999999999994, 6.7999999999999936, 6.8999999999999932]","[0.2676248356679946, 0.2550962245076073, 0.24338915770145672, 0.2326089349620805, 0.22286032188657892, 0.21422515547687904, 0.20680897960869596, 0.20067711585912573, 0.1958932702674329, 0.19252285190687904, 0.19062984629334748, 0.19028589164582108, 0.19154694792330085, 0.19445639760746947, 0.1990184665417949, 0.20518204259163653, 0.21284132062662564, 0.22188263583835252, 0.23211920161023994, 0.2434108756131075]",0.19
STN01,261.73739338244707,0.77,"[0.0, 14.0, 14.0, 15.0, 13.0, 11.0, 11.0, 10.0, 11.0, 7.0, 8.0, 7.0, 6.0, 5.0, 0.0, 0.0, 0.0, 11.0, 10.0, 7.0, 7.0, 7.0, 7.0, 9.0, 9.0, 0.0, 0.0, 8.0, 8.0, 6.0]",4.90,"[4.0, 4.0999999999999996, 4.1999999999999993, 4.2999999999999989, 4.3999999999999986, 4.4999999999999982, 4.5999999999999979, 4.6999999999999975, 4.7999999999999972, 4.8999999999999968, 4.9999999999999964, 5.0999999999999961, 5.1999999999999957, 5.2999999999999954, 5.399999999999995, 5.4999999999999947, 5.5999999999999943, 5.699999999999994, 5.7999999999999936, 5.8999999999999932]","[0.2605827082752166, 0.251815380608183, 0.24389311125292026, 0.23688612528102912, 0.23090977332907694, 0.22598516046532865, 0.22218772864913627, 0.21953320636889717, 0.2180588284651552, 0.21771899813762707, 0.2186267373861646, 0.2207028697975113, 0.2239305687707126, 0.2282707262894544, 0.23366538641807164, 0.24006448415858742, 0.24741264865097032, 0.2556553172021218, 0.26472248134239945, 0.2745504400280034]",0.22
