StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
LMH,140.7240753173828,0.50,"[0.0, 0.0, 5.0, 7.0, 8.0, 0.0, 0.0, 0.0, 0.0, 7.0, 0.0, 0.0, 0.0, 9.0, 8.0, 6.0, 4.0, 5.0, 7.0, 7.0, 5.0, 5.0, 5.0, 6.0, 5.0, 4.0, 7.0, 7.0, 5.0, 0.0]",4.90,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.3026466670281441, 0.2927748353040283, 0.28378765885442675, 0.27570953427540923, 0.26891625832389415, 0.2633196240785735, 0.2589874244921855, 0.2559219931678633, 0.254139833501782, 0.2536280730649944, 0.25430838308785003, 0.2626311532669226, 0.26587931770703477, 0.26976791354493596, 0.27418623161846994, 0.2790088907859181, 1.325120485496636, 1.3228173846593403, 1.3251033368071725, 1.327479986809956]",0.25
LMR2,4.624309062957764,0.80,"[13.0, 16.0, 15.0, 14.0, 11.0, 10.0, 10.0, 11.0, 10.0, 10.0, 12.0, 10.0, 11.0, 9.0, 9.0, 9.0, 11.0, 7.0, 8.0, 8.0, 8.0, 8.0, 9.0, 9.0, 9.0, 8.0, 8.0, 9.0, 10.0, 8.0]",5.30,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.707862630770681, 0.6989154141318993, 0.6908319176639542, 0.6836876874304472, 0.6775653765041031, 0.6725535481172722, 0.6687511573279042, 0.6662239878688739, 0.6650669499730145, 0.6653340164361966, 0.6670625368008194, 0.15469565347527922, 0.14681473340690404, 0.14250479772267133, 0.1435033427046876, 0.15180221624250764, 0.1636262799841042, 0.17370785288457555, 0.1850384010735533, 0.19729318250231268]",0.14
LRR2,331.610107421875,0.44,"[5.0, 6.0, 0.0, 0.0, 0.0, 7.0, 7.0, 0.0, 0.0, 4.0, 7.0, 9.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 7.0, 7.0, 0.0, 0.0, 0.0]",5.10,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.5318576692262916, 0.520441430463029, 0.5093982701076615, 0.49882793896532235, 0.48873739035382585, 0.4793015677480703, 0.47061353217429963, 0.462807130230051, 0.456028331871863, 0.4504367774059484, 0.4461652253768588, 0.4286109021138383, 0.43354063476571003, 0.440084574629999, 0.44816830923240075, 0.457730522740374, 0.7447141199376276, 0.7408192751962167, 0.7447141199376276, 0.7490750538148004]",0.43
LTP,232.72274780273438,0.42,"[9.0, 8.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 6.0, 5.0, 5.0, 4.0, 7.0, 8.0, 8.0, 8.0, 6.0, 6.0, 7.0, 6.0, 6.0, 7.0, 7.0, 8.0, 8.0, 7.0, 5.0, 6.0, 10.0, 11.0]",5.30,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.2936651907973286, 0.2769806865443365, 0.2608678125779405, 0.245439532508731, 0.23083409541436087, 0.21721903618131413, 0.20480273684635938, 0.19379164440400184, 0.1844576107262612, 0.17705839725235306, 0.1718291231354252, 0.0819836553563804, 0.07642070417680037, 0.07196192350385561, 0.08532656032732744, 0.10145350686617889, 0.7383906035108119, 0.7372223254495633, 0.738350946831206, 0.739718215486917]",0.07
LUG,55.788848876953125,0.41,"[3.0, 3.0, 4.0, 0.0, 0.0, 0.0, 6.0, 6.0, 4.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 4.0, 4.0, 5.0, 5.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0]",4.20,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.4528116933846203, 0.44794561091560636, 0.44782377675223745, 0.44998611844007713, 0.45322187125599656, 0.45720879704349343, 0.461879348512249, 0.46719224959774025, 0.4731452970704293, 0.47972892527507743, 0.48692920333086614, 0.5236773328831815, 0.5363662325422515, 0.5496335013755224, 0.5634021510609616, 0.5776017444917655, 0.9837553296601875, 0.9991803661971148, 1.01460011860764, 1.0300160745069233]",0.45
PER,119.92256927490234,0.55,"[0.0, 0.0, 5.0, 6.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.60,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.1497200702689081, 0.13692155253026808, 0.12488012322914253, 0.11358557610613211, 0.10309018978818187, 0.09371067284987238, 0.09195435664393335, 0.1060004447495254, 0.12326933276455228, 0.14174001087503765, 0.1607530023757536, 0.19762652798901859, 0.22212493378959688, 0.24663306267823226, 0.2711476562791333, 0.2956662783566519, 1.4376737302216887, 1.4376737302216887, 1.4216333235945469, 1.4376472106183655]",0.09
RIN,284.16717529296875,0.60,"[5.0, 6.0, 7.0, 0.0, 9.0, 4.0, 4.0, 6.0, 7.0, 7.0, 5.0, 0.0, 0.0, 5.0, 5.0, 6.0, 3.0, 3.0, 5.0, 6.0, 6.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 6.0, 5.0]",4.80,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.6550968809875828, 0.6524333937884679, 0.6503542717434253, 0.6489120120553101, 0.6481028314820335, 0.6479237060823345, 0.441607675691052, 0.31162585366504203, 0.3108911629431887, 0.3116201177501427, 0.31370830459510024, 0.34960350129520945, 0.3572677994066152, 0.36618990009728153, 0.3763340889090708, 0.3876647954150269, 0.39617308163797954, 0.40525861792415246, 0.832502870934876, 0.8370369924764717]",0.31
SBB2,355.7578430175781,0.55,"[0.0, 0.0, 0.0, 6.0, 7.0, 0.0, 4.0, 5.0, 4.0, 5.0, 0.0, 7.0, 6.0, 8.0, 8.0, 6.0, 7.0, 3.0, 0.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 0.0, 0.0, 7.0, 7.0]",5.20,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.35461121958812214, 0.33289815190804317, 0.3112572325012735, 0.2897055979750321, 0.2682671410451352, 0.24698559471937034, 0.22588143742501846, 0.2050052482915107, 0.1845643246783998, 0.1646759763474577, 0.14561004660603516, 0.12111291628276134, 0.10061373099360922, 0.1008309756460838, 0.10816300484743345, 0.11596591898049198, 1.2756491787168862, 1.2756491787168862, 1.2678191763790958, 1.2756227932388635]",0.10
VTV,40.89790725708008,0.56,"[9.0, 9.0, 7.0, 10.0, 10.0, 6.0, 9.0, 9.0, 9.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 6.0, 6.0, 5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 7.0, 6.0, 8.0, 6.0, 7.0, 7.0]",5.10,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.22252446695950645, 0.2046464273639791, 0.18714232369245085, 0.17011162077644573, 0.1536872534324664, 0.13805046903839643, 0.1234660965657629, 0.11036014128395362, 0.09972192636024135, 0.09397311036076038, 0.09458557303155302, 0.07755309029937756, 0.09207540926254172, 0.10810341715018501, 0.12571038989614416, 0.14481604166858963, 1.2936301726013766, 1.2936301726013766, 1.2900878349814704, 1.2936059922681238]",0.08
WTT2,245.00994873046875,0.44,"[5.0, 0.0, 0.0, 0.0, 10.0, 0.0, 0.0, 0.0, 0.0, 8.0, 10.0, 10.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 9.0, 8.0, 9.0, 8.0]",5.10,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.3694388037527227, 0.3480698164871645, 0.32709248696556514, 0.3065566976432862, 0.2865627602255032, 0.2672660119029456, 0.24882044274691875, 0.23164042762061254, 0.21671326508060182, 0.20602710473396288, 0.20112580340005412, 0.16751257043948395, 0.17414930775153262, 0.18144734755181444, 0.18907594113320392, 0.1968904488900208, 0.9398116347424569, 0.9189487173634441, 0.9397784955283669, 0.9606155980615801]",0.17
TPFO,115.34586334228516,1.22,"[5.0, 6.0, 6.0, 6.0, 5.0, 6.0, 5.0, 4.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.10,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[1.9071912209816604, 1.914336809361546, 1.921720793231227, 1.9293336964146082, 1.9371724876493583, 1.9452340775700356, 1.953515326667196, 1.9620156908562254, 1.9707249365837238, 1.9796441423803899, 1.9887719863073003, 0.16556081723916957, 0.18620452585115996, 0.20688292968963737, 0.22758375027141967, 0.24829987202776052, 0.25614115503264606, 0.2639859656475447, 0.2718501039285371, 0.2797531234304474]",0.17
