StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
STN08,291.94366455078125,0.63,"[4.0, 5.0, 6.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 0.0, 0.0, 5.0, 5.0, 3.0, 4.0, 4.0, 5.0, 0.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 0.0, 0.0]",6.90,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.30795104778823684, 0.30136586292902817, 0.2952663737106677, 0.28989270611414203, 0.2851854446611438, 0.28130038733278157, 0.2781366756013662, 0.2758170770733747, 0.2743044830125634, 0.27359701140925874, 0.2737105784548327, 0.27458767585106103, 0.27622331992792043, 0.2785881659191698, 0.28164780230248354, 0.2853639145931956, 0.4630614434637354, 0.480263637468535, 0.49748305946898635, 0.5147191262132024]",0.27
STN09,299.8237609863281,0.46,"[12.0, 12.0, 14.0, 14.0, 14.0, 14.0, 13.0, 11.0, 13.0, 9.0, 0.0, 0.0, 8.0, 7.0, 9.0, 7.0, 8.0, 7.0, 8.0, 8.0, 7.0, 8.0, 7.0, 8.0, 8.0, 7.0, 6.0, 4.0, 5.0, 5.0]",7.30,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.347084550001288, 0.3343542935328016, 0.32216885683830654, 0.3106062499398659, 0.299753126099852, 0.2897191264120523, 0.28056507129937774, 0.27242869234359574, 0.2654083339074351, 0.2595784236339705, 0.25499326783307963, 0.25167247235427265, 0.24959506531336498, 0.24870128241264702, 0.24890079394386463, 0.2501411029606968, 0.2682259848458071, 0.2746781674631817, 0.2814694845715409, 0.28869745994340845]",0.25
STN13,293.29644775390625,0.92,"[12.0, 0.0, 10.0, 11.0, 12.0, 12.0, 15.0, 13.0, 9.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 8.0, 8.0, 8.0, 8.0, 0.0, 8.0, 7.0, 8.0, 7.0, 8.0, 0.0, 6.0, 6.0, 6.0]",7.50,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.3370286182740531, 0.32339625160477575, 0.31020640651386344, 0.2975167670195569, 0.28541576766603854, 0.2739765286780484, 0.2632849399828711, 0.2534301718301066, 0.2445010789167693, 0.23657589047148467, 0.22971509006023802, 0.22395340002025546, 0.21929227736082832, 0.21570682783748343, 0.21313928668015128, 0.21150971918489356, 0.23655192699715277, 0.2377453993127179, 0.2396549512642571, 0.24216370907840176]",0.21
STN14,307.33111572265625,0.87,"[12.0, 17.0, 13.0, 12.0, 10.0, 11.0, 13.0, 14.0, 11.0, 10.0, 9.0, 9.0, 7.0, 0.0, 0.0, 10.0, 10.0, 9.0, 9.0, 9.0, 8.0, 10.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0]",7.60,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.2756765577686646, 0.2655416041656887, 0.25590513118805047, 0.2468125635079876, 0.23830791540144336, 0.23042763533428942, 0.22324582206933719, 0.21671709962070407, 0.2109138920474296, 0.2058679105301887, 0.20162368505410735, 0.1981537947941255, 0.19552579915467208, 0.19379203636322587, 0.19296482967881898, 0.1930903928320867, 0.16441936836811172, 0.16864892897229558, 0.1732620552851876, 0.178157079347142]",0.16
STN15,309.65740966796875,0.63,"[8.0, 9.0, 7.0, 8.0, 8.0, 11.0, 9.0, 0.0, 8.0, 7.0, 0.0, 0.0, 0.0, 0.0, 8.0, 8.0, 7.0, 0.0, 7.0, 7.0, 8.0, 9.0, 9.0, 9.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.00,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.24074791904467666, 0.23436344554318556, 0.228406739274252, 0.2231823237578828, 0.21856126627544079, 0.21468595957823663, 0.2115472218214652, 0.20915226224300054, 0.20752082363549187, 0.20665797363894878, 0.20654257249202657, 0.207173458047884, 0.20851774352259386, 0.2105430110176617, 0.21321164359646474, 0.2164825735158753, 0.5005005737583307, 0.5124903791151237, 0.5251971795018148, 0.5384826710064431]",0.21
STN16,324.44384765625,0.49,"[0.0, 11.0, 0.0, 0.0, 10.0, 10.0, 10.0, 0.0, 11.0, 6.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 8.0, 8.0, 7.0, 8.0, 8.0, 4.0, 4.0, 0.0, 6.0, 6.0, 5.0, 5.0, 4.0]",6.40,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.25008359414870956, 0.23545078767672525, 0.22116396115231643, 0.2073187602274925, 0.19391807153615406, 0.19621786040593592, 0.20144795565036192, 0.20714847522594493, 0.21332416005424307, 0.21998133783116722, 0.22707921340869697, 0.234644833789679, 0.24263699447246764, 0.2510265979181876, 0.2597824227522771, 0.2688723134266696, 0.5407234954867491, 0.553841697673329, 0.567362904383344, 0.5811760339638637]",0.19
STN17,346.28564453125,0.47,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.70,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.8133698434062303, 0.8059843259598951, 0.7986843026685655, 0.7914831255791258, 0.784397172343435, 0.7774466758408237, 0.7706568049948036, 0.7640590532319492, 0.7576929889575617, 0.7516083965465361, 0.7458677396855933, 0.7405487238852143, 0.7357462169438088, 0.731572310837096, 0.7281524604662959, 0.7256153624556761, 0.7241116541110216, 0.7236719251336053, 0.7243382532473218, 0.7259467261391485]",0.72
STN18,11.908275604248047,0.48,"[0.0, 4.0, 4.0, 0.0, 5.0, 7.0, 7.0, 6.0, 6.0, 5.0, 6.0, 5.0, 4.0, 4.0, 4.0, 6.0, 0.0, 0.0, 0.0, 6.0, 7.0, 8.0, 6.0, 6.0, 6.0, 0.0, 0.0, 4.0, 5.0, 5.0]",6.50,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.2114962693431317, 0.19698324478044438, 0.184623924300088, 0.17513752177160916, 0.16903824840903106, 0.16630437870857095, 0.16648447708056865, 0.16908445007867856, 0.1737153449659999, 0.18015256581490988, 0.18822256456048994, 0.197792121165989, 0.2087433250711663, 0.2209595692900598, 0.234322738266214, 0.24871326048618228, 0.2638326622956996, 0.28529745447650806, 0.3076448512981855, 0.3305368988685862]",0.17
STN19,309.1629638671875,1.17,"[12.0, 16.0, 15.0, 16.0, 16.0, 13.0, 17.0, 14.0, 12.0, 9.0, 11.0, 11.0, 11.0, 12.0, 10.0, 10.0, 10.0, 10.0, 11.0, 9.0, 7.0, 8.0, 6.0, 0.0, 0.0, 0.0, 0.0, 8.0, 6.0, 6.0]",6.40,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[1.546974467812791, 1.5443613850795703, 1.5418832270600873, 0.8528319983504494, 0.8525582239146288, 0.8526451524945639, 0.8530916634103565, 0.8539025862801721, 0.8550769037093001, 0.8566134053649547, 0.8585101420922436, 0.8607632785287689, 0.8633716832067325, 0.8663316004659848, 0.8696387085187812, 0.8732896878879032, 1.0952251717089336, 1.1000864852614816, 1.105182213029378, 1.1105955503569849]",0.85
STN22,320.235595703125,0.81,"[12.0, 12.0, 14.0, 13.0, 14.0, 13.0, 14.0, 15.0, 7.0, 6.0, 6.0, 7.0, 8.0, 8.0, 9.0, 11.0, 11.0, 10.0, 8.0, 0.0, 0.0, 10.0, 8.0, 9.0, 9.0, 9.0, 10.0, 8.0, 9.0, 9.0]",7.90,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.379333322867613, 0.3664585029592747, 0.3539641276441694, 0.34188981482952435, 0.33029415575704363, 0.31923027807010507, 0.30875734589161546, 0.29895479285716875, 0.28989017142331625, 0.28164520210254085, 0.2743072199037884, 0.26796577872810895, 0.26270432474368804, 0.25860130028418293, 0.25572159347656737, 0.25412346124507307, 0.25575751316043077, 0.25217485571066534, 0.24983358284724475, 0.24868488400885191]",0.25
STN24,318.3598937988281,1.31,"[14.0, 10.0, 13.0, 15.0, 14.0, 16.0, 15.0, 12.0, 11.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 10.0, 9.0, 8.0, 7.0, 6.0, 7.0, 7.0, 7.0, 6.0]",7.60,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.9580451907944001, 0.957379336851202, 0.9571025250702906, 0.9572620443857144, 0.9578387889911925, 0.9588065207503894, 0.9602359705483435, 0.9620953953366511, 0.9643797525811589, 0.9670891217768505, 0.9702176782378834, 1.0440861914507478, 1.05048823874816, 1.0572096772750095, 1.064241949084093, 1.0715863420634097, 0.9247070839718369, 0.9330898272208893, 0.9418249737897755, 0.9509019732702946]",0.92
STN26,340.2959289550781,1.04,"[14.0, 0.0, 0.0, 0.0, 0.0, 0.0, 11.0, 11.0, 11.0, 9.0, 12.0, 12.0, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 6.0, 8.0, 6.0, 7.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0]",7.90,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.3117381448770021, 0.30308258612724426, 0.2958414624341366, 0.28975212767822883, 0.2845743818088937, 0.280154728756401, 0.27630606730455437, 0.27297862690137453, 0.27011801564707194, 0.26768480521363663, 0.26567159636034376, 0.26404229019214537, 0.2627865395011381, 0.26191780960853656, 0.2613633423431731, 0.26115446621581057, 0.26199984068261917, 0.25607274784644934, 0.25022035748552024, 0.24447715666807288]",0.24
STN31,251.244384765625,0.58,"[5.0, 7.0, 8.0, 8.0, 9.0, 9.0, 9.0, 6.0, 6.0, 4.0, 0.0, 6.0, 0.0, 5.0, 6.0, 4.0, 4.0, 5.0, 7.0, 9.0, 10.0, 10.0, 7.0, 7.0, 5.0, 9.0, 10.0, 11.0, 7.0, 8.0]",6.80,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.20420317793685586, 0.19039437248976868, 0.17853208120339614, 0.1686294447578988, 0.16050045940025107, 0.1537881085954875, 0.14819047305126087, 0.14350850627953124, 0.14008817210678218, 0.1546545344620265, 0.16980946942398875, 0.18550287523842238, 0.20169548294368564, 0.21835370612840233, 0.235448213665746, 0.2529524643158705, 0.25106108676886246, 0.27108262476540484, 0.29176496879451086, 0.31300680902410105]",0.14
STN32,229.86460876464844,0.41,"[12.0, 16.0, 10.0, 11.0, 12.0, 12.0, 14.0, 10.0, 10.0, 7.0, 9.0, 9.0, 9.0, 7.0, 9.0, 8.0, 8.0, 7.0, 5.0, 0.0, 4.0, 9.0, 6.0, 4.0, 5.0, 6.0, 6.0, 6.0, 8.0, 8.0]",7.20,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.32831426174231676, 0.31105214803711484, 0.2945275400629054, 0.2788356520020118, 0.2640791143085568, 0.2503672311299804, 0.23781531334636127, 0.22654683091972802, 0.21666739748044805, 0.20840405627299727, 0.20190551925158506, 0.1975104294594776, 0.19576147500597532, 0.1970785531868643, 0.2021112455807812, 0.2108135530263832, 0.19639438837235287, 0.21289903023035608, 0.2314783797892588, 0.251556310508894]",0.20
STN34,208.90589904785156,0.57,"[7.0, 8.0, 0.0, 0.0, 11.0, 8.0, 7.0, 6.0, 11.0, 9.0, 8.0, 0.0, 0.0, 0.0, 5.0, 4.0, 5.0, 5.0, 6.0, 0.0, 5.0, 6.0, 5.0, 5.0, 6.0, 7.0, 7.0, 9.0, 7.0, 6.0]",6.30,"[6.0, 6.1, 6.199999999999999, 6.299999999999999, 6.399999999999999, 6.499999999999998, 6.599999999999998, 6.6999999999999975, 6.799999999999997, 6.899999999999997, 6.9999999999999964, 7.099999999999996, 7.199999999999996, 7.299999999999995, 7.399999999999995, 7.499999999999995, 7.599999999999994, 7.699999999999994, 7.799999999999994, 7.899999999999993]","[0.22803660584313992, 0.2194556266717008, 0.2139210804231856, 0.21181482118609962, 0.21286784976796835, 0.21650923266997943, 0.22218190012488348, 0.22947761363985306, 0.23817811999075603, 0.24809409073503141, 0.2590987266043045, 0.2710901874357698, 0.28398049351191174, 0.2976875124966156, 0.3121368301101998, 0.32726092386122346, 0.37194701138475833, 0.39176161786625124, 0.41195503717639625, 0.4324529770553369]",0.21
