StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
HODGE,338.2828369140625,0.43,"[7.0, 7.0, 8.0, 9.0, 9.0, 9.0, 8.0, 7.0, 7.0, 0.0, 6.0, 7.0, 7.0, 6.0, 7.0, 7.0, 7.0, 8.0, 8.0, 3.0, 4.0, 5.0, 6.0, 6.0, 6.0, 8.0, 7.0, 7.0, 4.0, 5.0]",4.10,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.2426017380845503, 0.22543740660918554, 0.20859355175194697, 0.1942832780154172, 0.18701252243958255, 0.18024022015699995, 0.1740769747108942, 0.16863625829885065, 0.1640542240471672, 0.1604752091199951, 0.15802458110816883, 0.15682368540211236, 0.1569730734405926, 0.15855195432034355, 0.16162396074048394, 0.16624094428235067, 0.1724664310274733, 0.18033137424814516, 0.1898076527357433, 0.20078824307034837]",0.16
GOGA,250.72132873535156,1.24,"[0.0, 0.0, 6.0, 7.0, 7.0, 0.0, 7.0, 5.0, 4.0, 4.0, 5.0, 5.0, 7.0, 8.0, 8.0, 7.0, 6.0, 6.0, 0.0, 0.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.40,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.37672850891923937, 0.3625940103567536, 0.3486541170077275, 0.33441885223692114, 0.3173709697482332, 0.3005585967101781, 0.2839979240465104, 0.2677056161257661, 0.250022182354894, 0.230567343290184, 0.2114225798360789, 0.19262241667091387, 0.17420515417708807, 0.15621413302956474, 0.14300098776000328, 0.14431079775889086, 0.14625027679936883, 0.14895343079955356, 0.15264179134011288, 0.15769427337353856]",0.14
HH05,146.6731414794922,0.45,"[9.0, 8.0, 0.0, 11.0, 10.0, 8.0, 7.0, 0.0, 7.0, 8.0, 8.0, 6.0, 6.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 7.0, 8.0, 7.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.70,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.4130403400383438, 0.39796238357237484, 0.3835642825155168, 0.3699060007810926, 0.35705548733859693, 0.34507732123157714, 0.33404357432839626, 0.3240236082131329, 0.3150782829832519, 0.307253146438531, 0.3005716579904199, 0.29502683616423303, 0.29058038088815374, 0.2871678050170477, 0.2847047124511671, 0.2830962396242011, 0.28224413181838953, 0.28205389418210985, 0.28244137094282623, 0.2833322995198695]",0.28
D07,281.9200134277344,0.53,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 6.0, 7.0, 8.0, 7.0, 6.0, 5.0, 0.0, 4.0, 5.0, 6.0, 4.0, 0.0, 0.0]",4.60,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.5230482855248386, 0.5098242979261757, 0.496619814569879, 0.48343386814195516, 0.4702656663707092, 0.4571138802561799, 0.44397682837691893, 0.4308624159813223, 0.41774140872238935, 0.4046585886952556, 0.3915935204714606, 0.37854258822028797, 0.36729952977026653, 0.3629157917365416, 0.3585331153003182, 0.3541514336753977, 0.3531213445703341, 0.366068672172279, 0.37899727859844745, 0.39190842509160956]",0.35
D12,297.6018371582031,0.90,"[0.0, 0.0, 0.0, 5.0, 4.0, 4.0, 3.0, 4.0, 6.0, 6.0, 7.0, 4.0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0]",4.70,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.28987308820349483, 0.2836417813257215, 0.27777642398065455, 0.27231947896645603, 0.26721349360823404, 0.26252327122904584, 0.25826318000658616, 0.25444210950107166, 0.2510628263071866, 0.24812407225662705, 0.24562185453420307, 0.24355176085649408, 0.2418822110010136, 0.2405882787131047, 0.23964344932876336, 0.2390276468396216, 0.2386961155648699, 0.23864551569955625, 0.23884509386280292, 0.23927148480929628]",0.24
D13,297.1955261230469,1.02,"[5.0, 8.0, 10.0, 10.0, 8.0, 5.0, 5.0, 0.0, 4.0, 5.0, 7.0, 7.0, 4.0, 5.0, 4.0, 4.0, 5.0, 6.0, 7.0, 8.0, 5.0, 4.0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.90,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.25498767408972683, 0.24205561007096588, 0.23013728048543922, 0.21939567214463596, 0.20999750064109265, 0.20210427830043706, 0.1958563591343513, 0.1913638965342017, 0.1887028594405, 0.18790462747535838, 0.18900562809294782, 0.19196881862746154, 0.19910254915404013, 0.20489312028203566, 0.21232165547304602, 0.22124859266885688, 0.23151971319635242, 0.24297011518397416, 0.2554543976381472, 0.26882635443837616]",0.19
D14,300.81634521484375,1.07,"[4.0, 6.0, 5.0, 5.0, 5.0, 0.0, 0.0, 4.0, 5.0, 0.0, 0.0, 0.0, 4.0, 6.0, 6.0, 6.0, 6.0, 5.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.00,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.1811302302081297, 0.18649438699356577, 0.19187617588562636, 0.19727791442869969, 0.20269728668660716, 0.20813813251464822, 0.21360270463815242, 0.21909692643688938, 0.2246194703323944, 0.23017355424884078, 0.23576293972402543, 0.24139204306743967, 0.24706607243358772, 0.25279311754795003, 0.25857722680778417, 0.2644310115157441, 0.27036395379347633, 0.2763874847611472, 0.28251902935107864, 0.288775102538201]",0.18
D15,301.8919677734375,1.18,"[0.0, 5.0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.00,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.2463105033747942, 0.2516038376145016, 0.25714842138080024, 0.2629024363334025, 0.2688381081392518, 0.2749272837140007, 0.2811487714549494, 0.28748565834005435, 0.29392459841081303, 0.30045282150684316, 0.30706224928393505, 0.313750116513034, 0.3205125048630182, 0.3273471659811139, 0.3342533957642276, 0.34123039875749034, 0.35134470308481386, 0.3621426884074461, 0.3730311065527818, 0.384014159878653]",0.25
E31,182.3461456298828,0.84,"[0.0, 0.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 3.0, 0.0, 0.0, 0.0]",4.30,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.258692898829833, 0.23995361812754812, 0.22120821973886504, 0.20245925794323158, 0.18372957756168531, 0.16877723495769345, 0.16353260574471182, 0.1583191765358983, 0.15315346359924698, 0.1480835317178512, 0.14316128428181032, 0.1385824801542401, 0.13501533848290082, 0.13447344011856327, 0.13765809506217463, 0.14236625329491234, 0.14756211834739608, 0.15295128090507124, 0.1584373282140095, 0.16397986890300742]",0.13
