StName,Az(deg),EpDis(deg),NumMatPha,Loc(km),SubDivDep(km), Rms(s),MinRms(s)
RDM,110.49950408935547,0.93,"[0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 6.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.20,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[1.0224480085364733, 1.0270264392363566, 1.0321738140319978, 1.0378804513623225, 1.0441341709745886, 1.0509218517719885, 1.058229666860832, 1.0660476847202591, 1.0743499431643613, 1.0830483129550716, 1.0922759233622281, 0.08738710778063796, 0.08253477840455968, 0.09915022730612322, 0.11927636163481264, 0.14080613087808078, 0.15003997141164796, 0.1597183708369321, 0.16979422040995526, 0.1803869345585252]",0.08
BBS,92.73037719726562,0.76,"[8.0, 8.0, 0.0, 0.0, 0.0, 8.0, 7.0, 7.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 6.0, 6.0, 6.0, 6.0, 0.0, 4.0, 0.0, 0.0]",3.30,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.6834338796758135, 0.6814258221915496, 0.6801993223272554, 0.6797220498600325, 0.6799434652040018, 0.6808219149816684, 0.6823200264467583, 0.6844054465597947, 0.6870511477116267, 0.6902352959258623, 0.6939408496620532, 0.6981589008564945, 0.7028716882692735, 0.7080778074495933, 0.7137733187536405, 0.7199557635937737, 0.7266234532470041, 0.7338623868306641, 0.7414824956542136, 0.7495899376414453]",0.68
CHF,343.40020751953125,0.39,"[0.0, 0.0, 0.0, 9.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.10,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.2856933973254593, 0.26519104229248286, 0.24528663192922825, 0.22600003604241392, 0.20753448490041052, 0.19009757975352648, 0.17386572561059474, 0.159064166994874, 0.14592433094414128, 0.13465038317253078, 0.12538048319500447, 0.12081997894482284, 0.13718602099796465, 0.1553085836016724, 0.17481487453881436, 0.195397184497452, 0.8204936079401778, 0.8371851188136746, 0.8541118708220261, 0.871265563932799]",0.12
DEC,308.64166259765625,0.47,"[4.0, 5.0, 5.0, 5.0, 8.0, 0.0, 4.0, 5.0, 8.0, 8.0, 8.0, 10.0, 11.0, 10.0, 8.0, 6.0, 6.0, 8.0, 7.0, 8.0, 11.0, 11.0, 9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 7.0, 7.0]",3.30,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.11539386260874784, 0.10258444017312261, 0.09472293646874252, 0.0926517686210419, 0.09270447961706892, 0.09371107493024951, 0.09534054643582883, 0.09743044417644876, 0.10669097476707767, 0.1257991400920492, 0.14508416035686933, 0.16446747765294553, 0.1839688155910132, 0.20354829230430757, 0.2231868607444005, 0.2428700046390109, 0.2625868615321935, 0.2823287560971695, 0.302089022867972, 0.3218625012610141]",0.09
IPT,64.78553009033203,0.56,"[0.0, 6.0, 7.0, 9.0, 8.0, 0.0, 6.0, 8.0, 9.0, 9.0, 8.0, 8.0, 6.0, 6.0, 0.0, 0.0, 7.0, 6.0, 7.0, 5.0, 3.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 6.0, 8.0, 9.0]",5.10,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.25469340201354135, 0.24002705865698137, 0.22623704328525, 0.21349615552782208, 0.20203066346475643, 0.19214268896986475, 0.18427228629658418, 0.1788777859402567, 0.17640494930626158, 0.1768166656990814, 0.18001135715128413, 0.15828524262406907, 0.17226079226010182, 0.18781456794598797, 0.2047389516009975, 0.22287707025563588, 1.1945054197976057, 1.1945054197976057, 1.197178695374719, 1.1944799594027373]",0.16
JNH2,353.855712890625,0.49,"[0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 4.0, 6.0, 8.0, 8.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 5.0, 4.0]",5.50,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.40909973338420275, 0.3914289543857137, 0.3741102032515826, 0.35723734468514384, 0.3408670393377047, 0.3250632951822409, 0.30990022588253047, 0.29544002592746926, 0.2817385156706455, 0.2688381841604093, 0.256764931774457, 0.20572432657679585, 0.1970258508195606, 0.18828700158865175, 0.17965428843551598, 0.17092096568750512, 0.9439989112543982, 0.9504840639313153, 0.943978396124613, 0.9374379289661228]",0.17
LPC,38.988101959228516,0.45,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 6.0, 5.0, 5.0, 0.0, 0.0, 6.0, 7.0, 6.0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.20,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.4712518607731026, 0.46423229197124866, 0.4583452679711593, 0.453306386543812, 0.44886518725842633, 0.44483637393846304, 0.4410974293028673, 0.4375652525215416, 0.4341777101409257, 0.43090980058939793, 0.4277145951287462, 0.4245844654160558, 0.42149831397495924, 0.4364817091122292, 0.45196093759074724, 0.46747893774640076, 0.48303036327544785, 0.49861066806465343, 0.5142164429504541, 0.5298446485791685]",0.42
LUG,47.0282096862793,0.59,"[6.0, 7.0, 10.0, 9.0, 8.0, 8.0, 6.0, 6.0, 6.0, 8.0, 7.0, 6.0, 6.0, 5.0, 7.0, 6.0, 6.0, 7.0, 6.0, 7.0, 5.0, 7.0, 6.0, 5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",3.10,"[3.0, 3.1, 3.2, 3.3000000000000003, 3.4000000000000004, 3.5000000000000004, 3.6000000000000005, 3.7000000000000006, 3.8000000000000007, 3.900000000000001, 4.000000000000001, 4.100000000000001, 4.200000000000001, 4.300000000000001, 4.400000000000001, 4.500000000000002, 4.600000000000001, 4.700000000000001, 4.800000000000002, 4.900000000000002]","[0.19790419736595788, 0.19645249226697112, 0.1969237933205613, 0.19889779632403862, 0.20214558557451925, 0.20645060513033778, 0.21174669928848497, 0.21797059376304231, 0.22507295503563443, 0.23307409698956527, 0.24184308797786638, 0.25139652976630994, 0.2617077502893024, 0.27274880807041263, 0.284490022518561, 0.2969100603185943, 0.30994344088090564, 0.323571897558463, 0.33774208729481986, 0.35241593994979553]",0.20
MSJ,100.9694595336914,0.78,"[10.0, 10.0, 11.0, 11.0, 9.0, 10.0, 8.0, 5.0, 7.0, 6.0, 0.0, 0.0, 0.0, 0.0, 6.0, 5.0, 6.0, 6.0, 6.0, 5.0, 5.0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.80,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.7437817512840995, 0.7297066486604121, 0.7162160376141559, 0.7033560939597555, 0.6911763672734926, 0.6797295001256195, 0.6690708252787405, 0.6592590091089394, 0.6503445290596699, 0.6423908096782722, 0.6354509166301643, 0.500231917299994, 0.4890836991757535, 0.4795982632168267, 0.4718830438120542, 0.46602814449653623, 0.4648207042428196, 0.46417650770433183, 0.46409667346177025, 0.46457966249853283]",0.46
PER,99.65332794189453,0.58,"[6.0, 8.0, 7.0, 6.0, 6.0, 8.0, 8.0, 8.0, 9.0, 7.0, 7.0, 0.0, 0.0, 6.0, 7.0, 6.0, 6.0, 6.0, 6.0, 7.0, 6.0, 4.0, 5.0, 4.0, 6.0, 6.0, 0.0, 0.0, 5.0, 7.0]",5.00,"[4.0, 4.1, 4.199999999999999, 4.299999999999999, 4.399999999999999, 4.499999999999998, 4.599999999999998, 4.6999999999999975, 4.799999999999997, 4.899999999999997, 4.9999999999999964, 5.099999999999996, 5.199999999999996, 5.299999999999995, 5.399999999999995, 5.499999999999995, 5.599999999999994, 5.699999999999994, 5.799999999999994, 5.899999999999993]","[0.25003435664624246, 0.2400777394348191, 0.23064590107923785, 0.22179877654498084, 0.21358856468504447, 0.20605369297497012, 0.1992120089082486, 0.19303721466705462, 0.1875699646719424, 0.18271013714787335, 0.178423591453745, 0.4748878357481474, 0.47299015717421944, 0.4714126888916377, 0.47008521201581327, 0.46895509110451, 1.3481718772174602, 1.3481718772174602, 1.3461040446142007, 1.3481515909276223]",0.18
